id,title,rater,perspective
2Bz38r,Døde kropper i gatene: – En massakre på uskyldige sivile,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
ab9335,Sammen i sorgen,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
ab9OaM,Frykter katastrofe: Israel kutter mat og vann til én million barn,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
Kn419E,Skyter med skarpt mot demonstrantene,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
wA20wG,Hamas «øvde» på angrep: Publiserte video nesten en måned før terror,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
4oweBG,Desperat kirurg forteller: – Vi har ikke kapasiteten til å hjelpe,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
15JQpq,USAs jøder splittes om krigen: – Motbydelig,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
RG7xBd,Israel : Angrep moské i Jenin,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
APnvxE,Bombingen i Gaza: Norge må på banen!,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
gE97k5,Norske Mariam (6) er innesperret på Gazastripen: – Jeg er veldig redd,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
nQ6r3x,Netanyahu ber sivile flykte: – Krigen blir lang,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
kEgG6j,Barth Eide om svensk og dansk Gaza-nei: – Skulle gjerne hatt dem med,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
2B7Axv,Faren til Hamas-gissel: - Hjertet mitt sluttet nesten å slå,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
Kng5v4,Flere har krysset grensen fra Gaza til Egypt,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
MoeA6R,Hizbollah-lederen roser Hamas for terrorangrepet 7. oktober,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
8Jd90w,Sykehusdirektør: 15 drept i angrep på FN-skole i Gaza,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
3E87M0,Solgte avokado fra Peru – var egentlig fra Israel,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
O852oO,På innsiden av UDs krisestab: – Vi jobber på spreng,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
bgl52l,Safwat (57) får forlate Gaza – kan bli nødt til å gå i timevis,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
nQoOpx,Israel og Hamas enige om avtale: Fire dagers våpenhvile og løslatelse av 50 gisler,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
zEoeKb,Hva om Hamas ønsket fred?,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
veoy65,Norske Rim og Mohammad er igjen i Gaza: – Umenneskelig å be noen forlate barna,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
15a8mJ,Vil sanksjonere Netanyahu og Hamas-topper,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
kEoWeL,– For dem er jeg en spion og forræder,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
WRpmQr,Angrepene i Rødehavet: – Dette er en eskalering,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
JQmXR4,Demonstranter utenfor Finansdepartementet – ansatte kom ikke inn,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
768Q94,To måneder etter Hamas-angrepet: Isfront mellom Israel og Norge,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
mQmv64,Fangeutvekslingen,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
rlq0ee,Netanyahu sier at over 8000 terrorister er drept i Gaza,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
xgn57l,USA driver diplomati på høygir – besøkte Tyrkia og Hellas,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
GMd5jJ,"Nå er enda ett av Al-Jazeera-profilens barn drept: – Ufattelig, sier Blinken",ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
0Q2AX6,Folkemord-høringen: Hevder Israel har skapt ulevelige forhold,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
LlKRJq,Eksplosiv opptrapping,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
LlwXQ4,USA: Skjøt ned missiler fra Houthiene,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
Kn0wz5,Også Frankrike innstiller støtte til UNRWA,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
rlopll,Røde Halvmåne: Israelske styrker stormet sykehus i Gaza,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
veM0Oj,Leger Uten Grenser om Israels «undercover»-operasjon: – Dypt sjokkert,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
WRwL92,Dagbok fra et omringet sykehus: Hvem kan reddes? Hvem må dø?,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
zEaPyb,Netanyahu beordrer IDF inn i Rafah – ekspert tror det kan bli katastrofalt,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
kElllX,"LO, AUF og Norsk Folkehjelp med felles Gaza-krav: – Kan gjøre mer",ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
bgR0kl,Tente på seg selv utenfor den israelske ambassaden i Washington D.C.,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
Q7d7bR,Rømmer fra blodbadet,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
5BPrLO,FN: Grunn til å tro på meldinger om seksuell vold begått under Hamas-angrepet i oktober,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,israeli
ve41Pw,Eurovision: EBU skal ha godkjent Israels bidrag,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
ab5daa,Vinmonopolet varsler ekstraordinært styremøte om varer fra Israel-okkuperte områder,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
xgGjz8,Alle har sviktet palestinerne,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
xg1KGX,Tidligere Hamas-kriger til VG: – Jeg er stolt av hva de gjorde,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
eJlGMM,Israelske folkevalgte godkjenner lov som kan forby Al Jazeera i Israel,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
Q7pkkx,Ap kan seire i 2025,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
9zgA8w,Demonstranter blokkerer inngangen til Ap-møte,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
0QwQaB,Grensekrigen,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
63w4wO,Angrepet som satte fyr på Midtøsten-konflikten,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
8qwlq2,Hamas åpner for langvarig våpenhvile,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
wgE57P,Demonstrasjonene i Los Angeles: Flere personer pågrepet,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
EyWwKP,Israels deltager omringet av sikkerhetsstyrker,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
qPLPqO,Spent i Malmö før Eurovision-finalen: – Jeg skiter fullkomment i Netanyahu,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
5E0GrO,Eurovision: Sverige på tå hev enda litt,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,neutral
LMAMrx,FNs hovedforsamling gjentar krav om palestinsk stat: – Historisk vedtak,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
Av2jjq,Skolepengene våre skal ikke gå til krig,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
Avdx1r,Tallet på drepte barn og kvinner i Gaza er nedjustert,ensemble:gpt-4o:gpt-4-turbo:anthropic-claude-3-opus,palestinian
